year,month,date,co2_ppm,temp_anomaly
1958,3,1958-03-31,315.71,0.06
1958,4,1958-04-30,317.45,0.06
1958,5,1958-05-31,317.51,0.06
1958,6,1958-06-30,317.27,0.06
1958,7,1958-07-31,315.87,0.06
1958,8,1958-08-31,314.93,0.06
1958,9,1958-09-30,313.21,0.06
1958,10,1958-10-31,312.42,0.06
1958,11,1958-11-30,313.33,0.06
1958,12,1958-12-31,314.67,0.06
1959,1,1959-01-31,315.58,0.03
1959,2,1959-02-28,316.49,0.03
1959,3,1959-03-31,316.65,0.03
1959,4,1959-04-30,317.72,0.03
1959,5,1959-05-31,318.29,0.03
1959,6,1959-06-30,318.15,0.03
1959,7,1959-07-31,316.54,0.03
1959,8,1959-08-31,314.8,0.03
1959,9,1959-09-30,313.84,0.03
1959,10,1959-10-31,313.33,0.03
1959,11,1959-11-30,314.81,0.03
1959,12,1959-12-31,315.58,0.03
1960,1,1960-01-31,316.43,-0.03
1960,2,1960-02-29,316.98,-0.03
1960,3,1960-03-31,317.58,-0.03
1960,4,1960-04-30,319.03,-0.03
1960,5,1960-05-31,320.03,-0.03
1960,6,1960-06-30,319.58,-0.03
1960,7,1960-07-31,318.18,-0.03
1960,8,1960-08-31,315.9,-0.03
1960,9,1960-09-30,314.17,-0.03
1960,10,1960-10-31,313.83,-0.03
1960,11,1960-11-30,315,-0.03
1960,12,1960-12-31,316.19,-0.03
1961,1,1961-01-31,316.89,0.06
1961,2,1961-02-28,317.7,0.06
1961,3,1961-03-31,318.54,0.06
1961,4,1961-04-30,319.48,0.06
1961,5,1961-05-31,320.58,0.06
1961,6,1961-06-30,319.77,0.06
1961,7,1961-07-31,318.56,0.06
1961,8,1961-08-31,316.79,0.06
1961,9,1961-09-30,314.99,0.06
1961,10,1961-10-31,315.31,0.06
1961,11,1961-11-30,316.1,0.06
1961,12,1961-12-31,317.01,0.06
1962,1,1962-01-31,317.94,0.03
1962,2,1962-02-28,318.55,0.03
1962,3,1962-03-31,319.68,0.03
1962,4,1962-04-30,320.57,0.03
1962,5,1962-05-31,321.02,0.03
1962,6,1962-06-30,320.62,0.03
1962,7,1962-07-31,319.61,0.03
1962,8,1962-08-31,317.4,0.03
1962,9,1962-09-30,316.24,0.03
1962,10,1962-10-31,315.42,0.03
1962,11,1962-11-30,316.69,0.03
1962,12,1962-12-31,317.7,0.03
1963,1,1963-01-31,318.74,0.05
1963,2,1963-02-28,319.07,0.05
1963,3,1963-03-31,319.86,0.05
1963,4,1963-04-30,321.38,0.05
1963,5,1963-05-31,322.24,0.05
1963,6,1963-06-30,321.49,0.05
1963,7,1963-07-31,319.74,0.05
1963,8,1963-08-31,317.77,0.05
1963,9,1963-09-30,316.21,0.05
1963,10,1963-10-31,315.99,0.05
1963,11,1963-11-30,317.07,0.05
1963,12,1963-12-31,318.35,0.05
1964,1,1964-01-31,319.57,-0.2
1964,2,1964-02-29,320.04,-0.2
1964,3,1964-03-31,320.75,-0.2
1964,4,1964-04-30,321.84,-0.2
1964,5,1964-05-31,322.25,-0.2
1964,6,1964-06-30,321.89,-0.2
1964,7,1964-07-31,320.44,-0.2
1964,8,1964-08-31,318.69,-0.2
1964,9,1964-09-30,316.71,-0.2
1964,10,1964-10-31,316.87,-0.2
1964,11,1964-11-30,317.68,-0.2
1964,12,1964-12-31,318.71,-0.2
1965,1,1965-01-31,319.44,-0.11
1965,2,1965-02-28,320.44,-0.11
1965,3,1965-03-31,320.89,-0.11
1965,4,1965-04-30,322.14,-0.11
1965,5,1965-05-31,322.17,-0.11
1965,6,1965-06-30,321.87,-0.11
1965,7,1965-07-31,321.21,-0.11
1965,8,1965-08-31,318.87,-0.11
1965,9,1965-09-30,317.82,-0.11
1965,10,1965-10-31,317.3,-0.11
1965,11,1965-11-30,318.87,-0.11
1965,12,1965-12-31,319.42,-0.11
1966,1,1966-01-31,320.62,-0.06
1966,2,1966-02-28,321.6,-0.06
1966,3,1966-03-31,322.39,-0.06
1966,4,1966-04-30,323.7,-0.06
1966,5,1966-05-31,324.08,-0.06
1966,6,1966-06-30,323.75,-0.06
1966,7,1966-07-31,322.37,-0.06
1966,8,1966-08-31,320.36,-0.06
1966,9,1966-09-30,318.64,-0.06
1966,10,1966-10-31,318.1,-0.06
1966,11,1966-11-30,319.78,-0.06
1966,12,1966-12-31,321.02,-0.06
1967,1,1967-01-31,322.33,-0.02
1967,2,1967-02-28,322.5,-0.02
1967,3,1967-03-31,323.03,-0.02
1967,4,1967-04-30,324.41,-0.02
1967,5,1967-05-31,325,-0.02
1967,6,1967-06-30,324.09,-0.02
1967,7,1967-07-31,322.54,-0.02
1967,8,1967-08-31,320.92,-0.02
1967,9,1967-09-30,319.25,-0.02
1967,10,1967-10-31,319.39,-0.02
1967,11,1967-11-30,320.73,-0.02
1967,12,1967-12-31,321.96,-0.02
1968,1,1968-01-31,322.57,-0.08
1968,2,1968-02-29,323.15,-0.08
1968,3,1968-03-31,323.89,-0.08
1968,4,1968-04-30,325.02,-0.08
1968,5,1968-05-31,325.57,-0.08
1968,6,1968-06-30,325.36,-0.08
1968,7,1968-07-31,324.14,-0.08
1968,8,1968-08-31,322.11,-0.08
1968,9,1968-09-30,320.33,-0.08
1968,10,1968-10-31,320.25,-0.08
1968,11,1968-11-30,321.32,-0.08
1968,12,1968-12-31,322.89,-0.08
1969,1,1969-01-31,324,0.05
1969,2,1969-02-28,324.41,0.05
1969,3,1969-03-31,325.63,0.05
1969,4,1969-04-30,326.66,0.05
1969,5,1969-05-31,327.38,0.05
1969,6,1969-06-30,326.71,0.05
1969,7,1969-07-31,325.88,0.05
1969,8,1969-08-31,323.66,0.05
1969,9,1969-09-30,322.38,0.05
1969,10,1969-10-31,321.78,0.05
1969,11,1969-11-30,322.85,0.05
1969,12,1969-12-31,324.11,0.05
1970,1,1970-01-31,325.06,0.03
1970,2,1970-02-28,325.99,0.03
1970,3,1970-03-31,326.93,0.03
1970,4,1970-04-30,328.13,0.03
1970,5,1970-05-31,328.08,0.03
1970,6,1970-06-30,327.67,0.03
1970,7,1970-07-31,326.34,0.03
1970,8,1970-08-31,324.68,0.03
1970,9,1970-09-30,323.1,0.03
1970,10,1970-10-31,323.06,0.03
1970,11,1970-11-30,324.01,0.03
1970,12,1970-12-31,325.13,0.03
1971,1,1971-01-31,326.17,-0.08
1971,2,1971-02-28,326.69,-0.08
1971,3,1971-03-31,327.18,-0.08
1971,4,1971-04-30,327.78,-0.08
1971,5,1971-05-31,328.93,-0.08
1971,6,1971-06-30,328.57,-0.08
